ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt2761622,Spy in Goa,1966,-,-,-,"Action, Thriller            ",hindi
tt8622232,Time to Dance,2021,113 min,1.3,406,"Musical, Romance            ",hindi
tt0109922,Gopi Kishan,1994,161 min,5.5,805,"Action, Comedy, Drama            ",hindi
tt0187351,Nigahen: Nagina Part II,1989,140 min,5.2,286,"Drama, Family, Fantasy            ",hindi
tt5026204,Dobara Phir Se,2016,127 min,6.6,427,Drama            ,urdu
tt2373666,Pagaivan,1997,142 min,5.2,82,"Action, Comedy            ",tamil
tt1245732,Red Alert: The War Within,2009,120 min,6.4,337,"Action, Drama, Thriller            ",hindi
tt0273409,Adhikar,1938,132 min,-,-,-,hindi
tt4601930,Hasta Melapa,1969,-,-,-,Drama            ,gujarati
tt0242476,Gangavatarana,1984,-,-,-,-,telugu
tt0449814,Amnol Sahara,1952,-,-,-,Drama            ,hindi
tt0442625,Waqt Ka Shahenshah,1987,-,4.9,11,Action            ,hindi
tt3666258,Coffee Bloom,2015,90 min,5.9,101,Drama            ,hindi
tt0266712,Laila Majnu,II 1976,140 min,7.2,259,"Drama, Musical, Romance            ",oriya
tt3209556,Vidiyum Munn,2013,129 min,7.4,434,Thriller            ,tamil
tt6120732,Olappeeppi,2016,121 min,7.6,120,Drama            ,malayalam
tt3681344,Duniya Ke Rangeen Raatein,1997,-,-,-,Drama            ,hindi
tt8243058,Timi Sanga,2018,-,6.1,11,Romance            ,nepali
tt0267796,Oho Naa Pellanta,1996,-,6.2,19,Comedy            ,telugu
tt14189052,Ivanu Thumba Orata,2009,-,-,-,Drama            ,kannada
tt0246433,Apnapan,1977,133 min,6.5,73,"Drama, Romance            ",hindi
tt1606327,Saath Laakh,1957,125 min,-,-,"Musical, Romance            ",urdu
tt1502852,Insaan,1966,-,-,-,-,urdu
tt7419244,Takrav,2018,-,-,-,"Action, Romance            ",bhojpuri
tt2980794,Highway,I 2014,133 min,7.6,"26,801","Crime, Drama, Romance            ",hindi
tt1524568,Pratipaksha,1988,108 min,6.9,8,"Action, Drama            ",bengali
tt3521136,Har Raat Naya Khiladi,1990,-,-,-,Thriller            ,hindi
tt13057434,Naanaage Naanillai,2016,-,-,-,Drama            ,tamil
tt0243125,Atma Tarang,1937,-,-,-,-,hindi
tt2942618,Dehorokkhi: The Bodyguard,2013,167 min,6.8,402,Action            ,bengali
tt2777694,Beru,2005,104 min,8.3,19,Drama            ,kannada
tt2613436,Paigham,1988,168 min,-,-,Fantasy            ,hindi
-,Akela,,-,-,-,Drama            ,hindi
tt13088566,The Rubiks game,2014,30 min,-,-,"Short, Thriller            ",malayalam
tt9053354,Anthervedam,2018,-,-,-,Thriller            ,telugu
tt13605848,Enakkul Oru Kadhal,2009,97 min,-,-,Drama            ,tamil
tt1283527,Samsara Nauka,1989,-,-,-,-,kannada
tt0248294,Patthe Bapurao,1950,143 min,-,-,-,marathi
tt0352979,Vida Parayaanmathram,1988,-,-,-,-,malayalam
tt5278634,White,I 2016,149 min,3.0,471,Romance            ,malayalam
tt0283028,Sayahnam,2000,-,7.0,10,-,malayalam
tt14045622,Preetam,2021,-,9.0,15,Romance            ,marathi
tt3952870,Britto,2014,124 min,7.5,12,Drama            ,bengali
tt0252229,Amrutha Geetham,1982,-,-,-,-,malayalam
tt4960730,Pyar Ka Jigar,2003,-,-,-,Romance            ,hindi
tt0250747,Stalin Sivadas,1999,118 min,2.7,47,"Action, Thriller            ",malayalam
tt0352287,Dheeran,1987,-,-,-,-,malayalam
tt0262446,Gopichand Jasoos,1982,150 min,5.9,123,"Comedy, Thriller            ",hindi
-,Vikrant Rona,2021,-,-,-,"Action, Adventure, Fantasy            ",kannada
tt0995840,Joy: The Real Love Story,2007,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
tt0104098,Dharavi,1992,120 min,7.1,282,"Crime, Drama            ",hindi
tt0280817,Kamadhenu,1976,-,-,-,-,malayalam
tt1593777,Sansarer Itikatha,1983,-,-,-,Drama            ,bengali
tt10160924,Shani Arshad: Adha Adha,2019 Video,5 min,-,-,"Short, Music            ",urdu
tt5771640,Noces,2016,98 min,7.1,"1,360",Drama            ,oriya
-,Tu Heer Main Tera Hero,2021 TV Movie,-,-,-,Comedy            ,urdu
tt1441323,Madi Veetu Ezhai,1981,-,-,-,-,tamil
tt4007298,Khoobsurat Kali,2003,-,-,-,Thriller            ,hindi
tt0246877,Puthayal,1997,144 min,5.9,51,-,tamil
tt0320701,Urimai,1985,-,-,-,-,tamil
tt0266290,Babai Abbai,1984,117 min,6.3,102,"Comedy, Romance            ",telugu
tt1217608,Yaar Meri Zindagi,2008,-,4.8,39,"Drama, Family, Musical            ",hindi
tt4912546,Denied: A Life Confined,2013 TV Movie,22 min,-,-,Documentary            ,nepali
tt1237894,Jhoomar,2007,-,6.9,7,-,oriya
tt3982578,Hututu,2014,138 min,5.0,5,Comedy            ,marathi
tt1663663,Parchhaeen,1989,-,-,-,Thriller            ,hindi
tt0231352,Chettathi,1965,-,-,-,-,kannada
tt0083063,Sharda,1981,126 min,5.5,19,"Drama, Family            ",hindi
tt10902596,Satyanweshi Byomkesh,2019,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali
tt4271912,Mahan,1996,132 min,6.0,8,"Drama, Family            ",bengali
tt2132465,Takht-O-Taj,1970,-,-,-,-,urdu
-,Death Match,II,-,-,-,"Action, Adventure, Thriller            ",nepali
tt1537032,Kanthaswamy,2009,190 min,5.0,"1,567","Action, Crime            ",tamil
tt0432188,Vishwa Thulasi,2004,-,6.1,32,"Drama, Musical, Romance            ",tamil
tt7757972,Saakshyam,2018,166 min,4.7,437,Action            ,telugu
tt3908750,Circus Queen,1959,-,-,-,Action            ,hindi
tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,-,-,-,Thriller            ,hindi
tt6759286,Seemana,1996,-,8.9,8,"Action, Drama            ",nepali
tt6577668,Weather Report,2017,91 min,-,-,Drama            ,marathi
tt2522328,Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam
tt2375283,Maithaanam,2011,125 min,5.9,7,"Drama, Family, Mystery            ",tamil
tt2317103,Sons of Ram,2012,85 min,6.6,76,"Animation, Drama, Musical            ",tamil
tt14231578,Duti Mon,2011,-,-,-,Drama            ,bengali
tt1575691,Swapna Lokam,1999,-,-,-,Romance            ,telugu
tt0376061,Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
tt14075090,The Twelve Thousand,2020,28 min,-,-,"Short, Drama            ",nepali
tt13546104,Indulekha (Malayalam),2020– ,22 min,-,-,Drama            ,malayalam
tt0240945,Sukham Sukhakaram,1994,-,-,-,-,malayalam
tt0297378,Santa,1961,-,-,-,Drama            ,telugu
tt3207826,Mullamottum Munthiricharum,2012,-,4.3,14,Drama            ,malayalam
tt1577050,Fired,I 2010,87 min,4.4,260,Horror            ,hindi
tt0225515,Dillagi,1999,188 min,5.3,"1,068","Drama, Musical, Romance            ",hindi
tt13606792,Nesi,2009,-,-,-,Drama            ,tamil
tt1530891,Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam
tt0186871,Bhagwaan Dada,1986,147 min,4.3,167,"Drama, Thriller            ",hindi
tt10919164,A 2nd Hand Lover,2015,135 min,-,-,Romance            ,kannada
tt2791100,Sampoorna Sant Darshanam,1978,-,-,-,Drama            ,hindi
tt0273446,Avar Enakke Sontham,1977,66 min,-,-,-,tamil
tt1986813,Dharti ke God Mein,1971,-,-,-,Drama            ,hindi
tt1449278,Valar Pirai,1962,-,-,-,-,tamil
tt11086844,Shaitaan: A Vision of Madness,2018,65 min,-,-,Thriller            ,hindi
tt13724328,Haaru Hakkiyaneri,2010,-,-,-,Drama            ,kannada
tt0259494,Payal Ki Jhankar,1968,132 min,4.4,12,"Action, Adventure, Comedy            ",hindi
tt3417786,Juniors,2003,-,5.2,13,Romance            ,telugu
tt0299078,Palkon Ki Chhaon Mein,1977,127 min,7.5,65,"Drama, Romance            ",hindi
tt0384918,Dil Ka Sathi Dil,1982,-,6.7,18,Romance            ,hindi
tt3454974,Mounamelanoyi,2002,154 min,6.7,16,Romance            ,telugu
tt0032951,Punar Milan,1940,-,-,-,"Drama, Romance            ",hindi
tt5281434,Maa Shakti,2002–2003,-,8.4,15,History            ,malayalam
tt11766304,Let's Break Up,2020,-,-,-,-,kannada
tt7831920,HIRER SHIKAL,1988,126 min,-,-,"Drama, Romance            ",bengali
tt6917966,Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam
tt0038475,Dharti Ke Lal,1950,125 min,6.4,16,"Drama, History            ",hindi
tt8925172,Angadipattu,2018– ,23 min,-,-,Comedy            ,malayalam
tt1092005,Golmaal Returns,2008,135 min,5.1,"7,115","Comedy, Crime, Mystery            ",hindi
tt4003012,The Journey Within,2015,78 min,7.0,35,"Documentary, Music            ",oriya
tt0305692,Janma Bhoomi,1995,-,8.0,6,Drama            ,nepali
tt7971756,Inspector Gullu,2018,124 min,6.8,32,Action            ,hindi
tt1857670,Deiva Thirumagal,2011,166 min,8.1,"4,954",Drama            ,tamil
tt5267296,Aaj Ka Inteqaam,1991,-,-,-,Thriller            ,hindi
tt2713666,Tuch Khari Gharchi Laxmi,2011,115 min,-,-,Drama            ,marathi
tt4384242,Pataas,2015,127 min,6.7,758,"Action, Comedy            ",telugu
-,Ram,2022,-,-,-,"Action, Crime, Thriller            ",malayalam
tt0390271,Monagadu,1976,151 min,-,-,"Crime, Drama            ",telugu
tt0091320,Kala Dhanda Goray Log,1986,158 min,5.7,35,"Drama, Family            ",hindi
tt7817140,Vishwaguru,2017,-,-,-,Biography            ,malayalam
tt10964430,Thappad,I 2020,142 min,6.8,"14,626",Drama            ,hindi
tt1351669,Talentime,2009,120 min,6.8,183,Drama            ,tamil
tt8298414,Maan Bhi Jao Sanam,2018 TV Movie,49 min,-,-,Comedy            ,urdu
tt4899880,Shah,2015,109 min,8.5,"1,392","Biography, Drama, Sport            ",urdu
tt13004148,Harsha Varsha Jayaraj,2020,-,8.0,6,"Short, Comedy            ",malayalam
tt1268309,Yeh Kaise Hua,1984,-,-,-,-,urdu
tt0271949,Adavukal Pathinettu,1978,-,-,-,-,malayalam
tt0254181,Bhale Papa,1971,-,-,-,-,telugu
tt0243513,Raakhi Ki Saugandh,1979,-,-,-,"Action, Crime, Drama            ",hindi
tt12258568,Khara Varasdar,1986,-,-,-,Drama            ,marathi
tt1645102,Lakhon Fasane,1961,-,-,-,Drama            ,urdu
-,Vallam Kali,,86 min,-,-,Documentary            ,malayalam
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109 min,6.7,896,"Drama, Fantasy, Horror            ",punjabi
tt8364128,Amma I Love You,2018,147 min,7.4,55,Drama            ,kannada
tt8665904,Kahi Katai,2018,-,-,-,Family            ,nepali
tt11292062,Adhiktam,2020,45 min,-,-,"Action, Comedy            ",hindi
tt0259479,Oru Vasantha Geetham,1994,-,4.7,9,-,tamil
tt0248112,Ishq Ishq,1977,-,3.4,23,Musical            ,urdu
tt13666960,Aata Hoti Geli Kuthe,1991,-,-,-,Comedy            ,marathi
tt3415566,123,2002,127 min,5.7,59,Comedy            ,telugu
tt0347920,Saajan Ki Saheli,1981,-,5.5,44,"Family, Drama            ",hindi
tt8933650,Chanakya,2019,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam
tt0215898,Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi
tt1977836,Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese
tt13654756,Ippadikku En Kadhal,2007,115 min,-,-,Drama            ,tamil
tt0281721,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
tt0250759,Sutradhaarulu,1990,-,8.1,55,"Drama, Musical            ",telugu
tt3672760,Butter & Cheese,2014,13 min,-,-,"Short, Family            ",nepali
tt1580704,That Girl in Yellow Boots,2010,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada
tt14492938,Aanamuttathe Aangalamar,2000,108 min,-,-,"Comedy, Drama            ",malayalam
tt0370808,Jhankar,1942,-,-,-,-,hindi
tt0333636,Ira Thedunna Manushyar,1981,-,-,-,-,malayalam
tt1081913,Aideu,2007,91 min,-,-,-,assamese
tt0203289,American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
tt2548030,Chettayees,2012,-,4.7,134,Family            ,malayalam
tt0352162,Ambalakkara Panchayath,1988,-,-,-,-,malayalam
-,Khape,,-,-,-,Drama            ,gujarati
tt5994746,Supportive Men,2014 TV Short,21 min,-,-,"Documentary, Short, Family            ",nepali
-,Vivash,,-,-,-,-,hindi
tt11423262, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
tt14361576,Poila April,2021,-,-,-,Drama            ,bengali
tt0406556,Bachelor Husband,1950,-,-,-,-,hindi
tt0156852,Oru Nadigai Natakam Pakiral,1978,131 min,6.2,12,-,tamil
tt1305021,Dunia Gol Hai,1974,-,-,-,-,urdu
tt4209790,Chalta Purza,1958,-,-,-,Fantasy            ,hindi
tt6588966,Hichki,2018,116 min,7.5,"10,905","Comedy, Drama            ",hindi
tt0363777,Lover Boy,1985,-,4.1,19,"Drama, Romance            ",hindi
tt0962716,Babul,1986,162 min,4.8,9,Drama            ,hindi
tt7683212,Babu,2020,26 min,-,-,"Short, Drama            ",nepali
tt9725092,Swabhimaan,2019,122 min,-,-,Drama            ,gujarati
tt0214941,Meera,1947,120 min,7.7,14,-,hindi
tt0314566,Red Indians,2001,-,4.7,15,-,malayalam
tt1319643,Navabharata,1988,-,-,-,-,kannada
tt11102314,Tribhanga,2021,95 min,6.1,"2,406","Drama, Family            ",hindi
tt13980542,Sri Bannari Amman,2002,149 min,-,-,Drama            ,tamil
tt13212228,Dear Love,2020– ,-,-,-,-,nepali
tt13057554,Apoorva Mahaan,2015,135 min,-,-,Drama            ,tamil
tt11543304,Haidar Sultan,1982,-,-,-,"Action, Drama            ",punjabi
tt11536276,3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu
tt6650364,Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
tt0277061,Kaapalika,1973,131 min,7.8,5,-,malayalam
tt1339453,Karunamayi,1987,137 min,-,-,-,kannada
-,Phone Bhoot,2021,-,-,-,"Comedy, Horror            ",hindi
tt4417674,Aag aur Angaray,1990,-,-,-,Action            ,hindi
tt10626550,Athmasakhi,2016– ,-,-,-,-,malayalam
tt13086918,Vachikava,2014,-,-,-,Drama            ,tamil
tt4954470,Krishna Arjun,2004,-,-,-,Action            ,hindi
tt0152133,Rahi,1953,139 min,6.9,27,Drama            ,hindi
tt0436165,Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi
tt13730178,School Master,2010,143 min,-,-,Drama            ,kannada
tt4920116,Halla Gulla,2015,-,5.2,77,"Action, Comedy            ",urdu
tt1954666,Monopoly the Game of Money,2012,-,-,-,Thriller            ,hindi
tt0246053,Maga Maharaju,1983,-,6.8,30,"Comedy, Drama, Romance            ",telugu
tt12976166,Band Baaja Babuchak,2017,123 min,-,-,Comedy            ,gujarati
tt0355250,Bebbuli Veta,1985,-,-,-,-,telugu
tt3439838,Gita,2008,-,-,-,Drama            ,telugu
tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
tt0329393,Mr. and Mrs. Iyer,2002,120 min,7.9,"4,681",Drama            ,tamil
tt6868074, Siyaasat,2014– ,-,-,-,History            ,urdu
tt0311337,Inth Ka Jawab Patthar,2002,-,3.2,9,"Musical, Action            ",hindi
-,Qalb,,-,-,-,"Drama, Romance            ",malayalam
tt0151765,Nisithe,1963,-,7.2,10,Drama            ,bengali
tt12121480,Cabbie,2019,19 min,-,-,"Short, Horror            ",nepali
tt0254936,Advaitham,1991,181 min,7.0,275,"Action, Crime, Drama            ",malayalam
tt0317900,Maruppacha,1982,-,-,-,-,malayalam
tt0454491,Kachehari,1994,-,6.4,14,Action            ,punjabi
tt0455261,Kismet Road,2004– ,30 min,-,-,Drama            ,urdu
tt2543854,Fever,2009,-,8.5,8,"Short, Fantasy            ",nepali
tt7586994,Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
tt0429541,Afsana Dilwalon Ka,2001,195 min,3.6,"1,024","Drama, Romance            ",urdu
-,Paradise Street,,-,-,-,"Comedy, Romance, Thriller            ",hindi
tt14434198,Namukkore Aakasham,2015,115 min,-,-,Drama            ,malayalam
tt8806546,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam
tt3848938,Mr. X,2015,133 min,3.8,"1,816","Action, Drama, Sci-Fi            ",hindi
tt0482805,Nakhuda,1968,-,-,-,-,urdu
tt0268520,Pakhandi,1984,138 min,6.5,26,Drama            ,hindi
tt0325620,Ini Ethra Sandhyakal,1979,-,-,-,-,malayalam
tt2498312,Bachchan,2013,145 min,6.6,926,"Action, Crime, Thriller            ",kannada
tt3877652,Desi Kattey,2014,139 min,4.0,125,Action            ,hindi
tt0329724,Vaddante Dabbu,1954,139 min,6.6,10,"Comedy, Drama            ",telugu
tt4952766,Nooran,1957,-,-,-,Romance            ,punjabi
tt0374069,Murderer,1935,-,-,-,-,hindi
tt6853994,Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam
tt14191284,Zunjar,2003,-,-,-,-,marathi
tt2929820,Pyase Nain,1989,-,-,-,Drama            ,hindi
tt2714450,Anokha Chamatkar,1988,-,-,-,Drama            ,hindi
tt8178538,Vasudhaika 1957,2016,-,-,-,Horror            ,telugu
tt0414156,Insaan Aur Shaitan,1970,-,5.1,14,Action            ,hindi
tt9729774,Sapthagiri LLB,2017,138 min,7.2,56,"Comedy, Drama            ",telugu
tt5242076,Prem Vidrohi,2012,-,-,-,Action            ,bhojpuri
tt5948916,Manamantha,2016,164 min,7.7,840,Drama            ,telugu
tt2549618,August 2,2012,-,4.2,9,Thriller            ,hindi
tt6444022,Ponge Ezhu Manohara,2015,-,-,-,"Comedy, Drama            ",tamil
-,Maayon,,-,-,-,"Mystery, Thriller            ",tamil
tt3411076,1:13:7 Ek Tera Saath,2016,120 min,5.7,57,Horror            ,hindi
tt4604852,Diyar Bhojai,1980,-,-,-,Romance            ,gujarati
tt3949344,Sair-E-Paristan,1958,-,-,-,Fantasy            ,hindi
tt1757789,Lalkare Sheran De,1994,117 min,-,-,Action            ,punjabi
tt4651494,Azad Champion,1968,-,-,-,Action            ,hindi
tt1475422,Thazampoo,1965,-,6.8,6,-,tamil
tt0249571,Haseena 420,1988,-,6.2,5,-,urdu
tt11286160,Record,2019,81 min,-,-,Horror            ,urdu
tt1310391,Raogari Illu,1988,-,-,-,"Comedy, Drama            ",telugu
tt4597882,Proud to Be a Sikh,2014,92 min,7.2,20,Drama            ,punjabi
tt1102297,Paranju Theeratha Visheshangal,2007,-,6.3,6,-,malayalam
tt6957140,Banna Bannada Baduku,2017,-,-,-,Drama            ,kannada
tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,Drama            ,malayalam
tt0252636,Laxmi,1957,118 min,-,-,"Drama, Family            ",hindi
tt8793888,Patukunte Padivelu,1967,145 min,-,-,Drama            ,telugu
tt4614164,Radha Ghelo Kan,1991,-,-,-,Drama            ,gujarati
tt1569529,"U, Bomsi N Me",2005,-,7.4,13,Comedy            ,hindi
tt10895802,Les Larmes Noires,2015,127 min,-,-,Documentary            ,urdu
tt0247946,Baeelveda,1979,-,-,-,-,marathi
tt10852008,Balakot: the true story,2020,-,-,-,Action            ,hindi
tt5426752,Maan Marjada,1991,137 min,-,-,Drama            ,bengali
tt0242519,Hera Pheri,2000,156 min,8.2,"58,037","Action, Comedy, Crime            ",hindi
tt0323755,Raagangal Maruvathillai,1983,-,7.2,5,-,tamil
tt7162396,Putra Badhu,1998,-,-,-,Drama            ,bengali
tt14344696,Naik Parveen,1975,-,-,-,-,urdu
tt4219300,Gollu Aur Pappu,2014,112 min,3.7,101,Comedy            ,hindi
tt11423066, Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
tt14218668,Shivani,I 2019,-,-,-,Crime            ,hindi
tt10152214,Heer Maan Ja,2019,146 min,5.2,187,"Action, Comedy, Family            ",punjabi
tt0213929,Nayakudu Vinayakudu,1980,-,6.0,6,-,telugu
tt1774473,Love You to Death,2012,102 min,5.3,7,"Comedy, Thriller            ",hindi
tt0231204,Awara Badal,1964,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri
tt6555524,Gharer Bou,1990,121 min,-,-,Drama            ,bengali
tt0237095,Chief Sahib,1996,-,5.0,37,"Action, Comedy, Romance            ",urdu
tt6355584,Revelations,2016,118 min,7.3,135,Drama            ,tamil
tt8698288,Murder,1994,101 min,-,-,"Crime, Drama, Mystery            ",kannada
tt0351120,Ivide Ingane,1984,101 min,-,-,"Action, Drama            ",malayalam
tt3376048,Porter Ponnusami,1979,-,-,-,-,tamil
tt9849992,Amar Premi Sheni Vijanand,1974,-,-,-,Drama            ,gujarati
tt1905076,Tum Hi To Ho...,2011,-,3.9,10,"Drama, Mystery, Thriller            ",hindi
tt0261567,Bilhana,1948,-,-,-,-,tamil
tt1334254,Maharathi,2008,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi
tt13451520,Adyathe Maravi,2019,14 min,-,-,"Short, Thriller            ",malayalam
tt1645083,Hum Ek Hain,1961,-,-,-,Drama            ,urdu
tt0334187,Puzha,1980,-,-,-,-,malayalam
tt13821112,Common Opinion,2016,10 min,-,-,"Documentary, Short            ",urdu
tt0290258,Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi
tt0322943,Khaidi,1987,-,-,-,-,telugu
tt0029518,Savitri,1937,136 min,-,-,Fantasy            ,hindi
tt1830782,Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada
tt4540998,Police Lock Up,1992,-,-,-,Action            ,hindi
tt1954206,The Dirty Picture,2011,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil
tt0158711,Kurbani,1943,-,6.6,5,-,hindi
tt13595374,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,-,-,-,Documentary            ,nepali
tt8447590,Lawaris: Karachi's Unknown Dead,2019,-,-,-,"Documentary, Short            ",urdu
tt11203758,Rakhewal,2019,130 min,-,-,Drama            ,gujarati
tt14142936,Kanasu Maratakkide,2021,132 min,-,-,Drama            ,kannada
tt0232291,Pati Patni Aur Tawaif,1990,-,4.3,40,"Drama, Family            ",hindi
-,777 Charlie,,136 min,-,-,"Adventure, Comedy, Drama            ",tamil
tt10305296,Dholo Mara Malak No,1998,-,-,-,Drama            ,gujarati
tt0317973,Pambaram,1979,-,-,-,-,malayalam
-,Raj Shahenshah,,122 min,-,-,Drama            ,bhojpuri
-,Love You Dhaka,,-,-,-,Drama            ,bengali
tt9602804,The Last Color,2019,90 min,7.7,740,Drama            ,hindi
tt0229966,Aji Bas Shukriya,1958,-,6.2,10,"Comedy, Drama, Musical            ",hindi
-,Avatar Purusha,,-,-,-,Comedy            ,kannada
tt0157526,Delhi Durbar,1956,-,-,-,-,hindi
tt0231261,Bhartruhari,1932,-,-,-,Fantasy            ,hindi
tt5310562,Teer,1954,-,-,-,Drama            ,hindi
tt13070794,Eppothum Vendran,2014,138 min,-,-,Drama            ,tamil
-,Rubik's Cube,,134 min,-,-,Drama            ,marathi
tt2742176,Prem Paigham,1989,-,-,-,Romance            ,hindi
tt0117672,Smuggler,1996,-,4.4,17,"Action, Crime            ",hindi
tt1615070,Sheikh Chilli,1958,-,-,-,Comedy            ,punjabi
tt11323086,Sasi Lalitha,2020,-,-,-,Drama            ,telugu
